nSeq,frontal,smoothed_values,Wavetype
0,23980,24803.752033251512,0
1,25256,27757.151178458844,0
2,28930,30124.32232195247,0
3,30218,31989.419741857902,0
4,33580,33427.492230671145,0
5,39904,34505.18004449056,0
6,41288,35281.37850888475,0
7,39356,35807.86903024987,0
8,37400,36129.918261510094,0
9,35048,36286.84617101451,0
10,33708,36312.56376348429,0
11,33512,36236.0812018634,0
12,34452,36081.98707892657,0
13,35320,35870.899587497945,0
14,36168,35619.890338134035,0
15,36196,35342.88157312455,0
16,35012,35051.017525664334,0
17,33404,34753.010673050514,0
18,32404,34455.463632757805,0
19,32392,34163.16745024589,0
20,32368,33879.377027352326,0
21,31524,33606.06444012436,0
22,31208,33344.15089494348,0
23,32632,33093.71807179587,0
24,34088,32854.199603542824,0
25,33252,32624.553440043986,0
26,32348,32403.41584598746,0
27,31972,32189.237781280543,0
28,31216,31980.404412853397,0
29,30976,31775.338506731023,0
30,31228,31572.588449225517,0
31,32446,31370.901646102822,0
32,34228,31169.28404857758,0
33,34752,30967.046554989494,0
34,33654,30763.839037014517,0
35,33112,30559.67273926454,0
36,32760,30354.9318011297,0
37,32936,30150.374649715734,0
38,32510,29947.12601273112,0
39,30428,29746.660300175914,0
40,28036,29550.777103688233,0
41,26586,29361.5695623991,0
42,25469,29181.386344152063,0
43,25445,29012.787990938552,0
44,28060,28858.498377403703,0
45,31620,28721.352031277253,0
46,34016,28604.23806458048,0
47,33504,28510.041464465015,0
48,31792,28441.58249253613,0
49,29736,28401.554941513412,0
50,28574,28392.403220710334,0
51,26740,28527.388370934637,0
52,23294,28654.774539433172,0
53,20732,28791.96274305473,0
54,20377,28953.625039484712,0
55,21008,29239.486182568857,0
56,23054,29682.84823777097,0
57,23704,30090.654775978674,0
58,22689,30428.026010445075,0
59,24932,30732.161815205876,0
60,30008,30980.152589920108,0
61,35017,31196.788504304917,0
62,39484,31449.77024209357,0
63,41740,31790.35047291137,0
64,41325,32197.105661813373,0
65,40040,32641.66183559622,0
66,37764,33118.94952691438,0
67,36332,33612.6804200215,0
68,35864,34069.08114452603,0
69,35608,34488.91705327578,0
70,34924,34922.53725761665,0
71,34713,35360.25843892243,0
72,34304,35726.478150039315,0
73,33532,35958.261828449075,0
74,33661,36102.12911058884,0
75,34620,36197.445157308866,0
76,35460,36156.26796249633,0
77,35748,35956.11942408698,0
78,35496,35557.75075695973,0
79,34800,34974.28532667919,0
80,34069,34294.215871530396,0
81,33540,33589.67148039465,0
82,32752,32914.65099543491,0
83,31638,32290.01406056125,0
84,30582,31709.41922622929,0
85,29961,31156.16227011779,0
86,30088,30646.86667108241,0
87,29996,30183.912184731867,0
88,31116,29794.05134248939,0
89,32056,29452.562510822416,0
90,32541,29110.184901304787,0
91,30540,28761.773574803647,0
92,26916,28431.021423587867,0
93,24717,28088.872934708405,0
94,22800,27714.60813501744,2
95,25188,27384.459250222037,2
96,30540,27152.113748063835,2
97,31249,27034.211088776974,2
98,29474,27023.868934170358,2
99,29136,27115.429414424794,2
100,29108,27295.045089810123,2
101,28924,27583.5184338192,2
102,28296,27988.794060964632,2
103,29492,28464.0790410391,0
104,27713,28953.942499222565,0
105,22002,29358.412867247254,0
106,17908,29673.571900352923,0
107,20426,29992.992151678194,0
108,23690,30318.326652958138,0
109,26288,30591.87040264637,0
110,30018,30880.543230655374,0
111,33992,31218.085554165533,0
112,35976,31608.69093110578,0
113,36164,32061.384773628975,0
114,36744,32550.930112049286,0
115,38721,33009.63945953614,0
116,40368,33421.84588621238,0
117,40912,33772.61717982072,0
118,42341,34078.40166951053,0
119,43224,34351.538613913544,0
120,41208,34596.00982227317,2
121,37420,34805.7524975841,2
122,33977,35017.333827690825,2
123,32564,35227.35326745079,2
124,30612,35387.059366574475,2
125,27008,35505.95400282243,2
126,25109,35584.28765105361,0
127,24413,35652.66661945927,0
128,27580,35719.391224703024,0
129,32298,35730.91251871681,0
130,35428,35649.36697451899,0
131,36644,35473.271944264154,0
132,36776,35243.66239410095,0
133,37356,34960.29279885701,0
134,37988,34572.225606754306,0
135,37996,34109.29907952696,0
136,37501,33665.63089318143,0
137,36932,33289.74026644247,0
138,35652,32948.58581533588,0
139,35072,32659.082821906337,0
140,35064,32434.298181698647,0
141,34208,32257.61269162038,0
142,31824,32081.690544455807,0
143,29720,31873.312690402177,0
144,29128,31641.823427222174,0
145,28564,31349.11558033814,0
146,28728,31044.036177278034,0
147,29889,30829.8371932369,0
148,30548,30663.14092521609,0
149,30960,30517.58913060281,0
150,31720,30431.319540771354,0
151,32375,30421.199751958586,0
152,31258,30486.10688596786,0
153,28157,30605.995689146403,0
154,25080,30835.17287719661,0
155,27392,31124.177465543267,0
156,31772,31334.359432636855,0
157,34300,31369.533415100457,0
158,35132,31326.36756215126,0
