Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
DEU,1991-01-01,1991-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,1490.000000,A
DEU,1992-01-01,1992-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,992.000000,A
DEU,1993-01-01,1993-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,619.000000,A
DEU,1994-01-01,1994-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,695.000000,A
DEU,1995-01-01,1995-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,890.000000,A
DEU,1996-01-01,1996-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,1006.000000,A
DEU,1997-01-01,1997-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,767.000000,A
DEU,1998-01-01,1998-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,751.000000,A
DEU,1999-01-01,1999-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,655.000000,A
DEU,2000-01-01,2000-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,642.000000,A
DEU,2001-01-01,2001-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,712.000000,A
DEU,2002-01-01,2002-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,412.000000,A
DEU,2003-01-01,2003-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,488.000000,A
DEU,2004-01-01,2004-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,452.000000,A
DEU,2005-01-01,2005-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,355.000000,A
DEU,2006-01-01,2006-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,401.000000,A
DEU,2007-01-01,2007-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,428.000000,A
DEU,2008-01-01,2008-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,507.000000,A
DEU,2009-01-01,2009-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,381.000000,A
DEU,2010-01-01,2010-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,404.000000,A
DEU,2011-01-01,2011-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,492.000000,A
DEU,2011-01-01,2011-01-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7001,January,LCU,521.000000,A
DEU,2011-02-01,2011-02-28,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7002,February,LCU,521.000000,A
DEU,2011-03-01,2011-03-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7003,March,LCU,527.000000,A
DEU,2011-04-01,2011-04-30,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7004,April,LCU,518.000000,A
DEU,2011-05-01,2011-05-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7005,May,LCU,526.000000,A
DEU,2011-06-01,2011-06-30,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7006,June,LCU,538.000000,A
DEU,2011-07-01,2011-07-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7007,July,LCU,564.000000,A
DEU,2011-08-01,2011-08-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7008,August,LCU,546.000000,A
DEU,2011-09-01,2011-09-30,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7009,September,LCU,453.000000,A
DEU,2011-10-01,2011-10-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7010,October,LCU,413.000000,A
DEU,2011-11-01,2011-11-30,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7011,November,LCU,417.000000,A
DEU,2011-12-01,2011-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7012,December,LCU,442.000000,A
DEU,2012-01-01,2012-12-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,474.000000,A
DEU,2012-01-01,2012-01-31,79,'276,Germany,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7001,January,LCU,438.000000,A
